name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"exponential_lpdf_Prim_real_Prim_vector/1/manual_time_mean",5,33.51,57.0038,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1/manual_time_median",5,32.8717,56.0772,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1/manual_time_stddev",5,1.06667,1.58717,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4/manual_time_mean",5,52.6546,75.7336,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4/manual_time_median",5,52.6962,75.8072,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4/manual_time_stddev",5,0.102259,0.139643,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/16/manual_time_mean",5,128.214,151.352,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/16/manual_time_median",5,128.146,151.253,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/16/manual_time_stddev",5,0.275279,0.317748,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/64/manual_time_mean",5,430.308,453.431,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/64/manual_time_median",5,430.348,453.456,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/64/manual_time_stddev",5,0.548409,0.543791,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/256/manual_time_mean",5,1624.4,1647.44,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/256/manual_time_median",5,1625.44,1648.36,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/256/manual_time_stddev",5,4.45124,4.49405,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1024/manual_time_mean",5,6430.66,6457.41,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1024/manual_time_median",5,6412.1,6437.33,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1024/manual_time_stddev",5,63.0736,62.7936,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4096/manual_time_mean",5,25754.1,25795.4,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4096/manual_time_median",5,25578.3,25621.4,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4096/manual_time_stddev",5,365.461,365.806,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/16384/manual_time_mean",5,101796,101839,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/16384/manual_time_median",5,101608,101649,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/16384/manual_time_stddev",5,500.736,502.199,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/65536/manual_time_mean",5,402578,402619,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/65536/manual_time_median",5,403194,403225,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/65536/manual_time_stddev",5,2047.61,2046.21,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/262144/manual_time_mean",5,1.5928e+06,1.59277e+06,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/262144/manual_time_median",5,1.59228e+06,1.59228e+06,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/262144/manual_time_stddev",5,7029.88,7038.45,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1048576/manual_time_mean",5,6.57188e+06,6.57199e+06,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1048576/manual_time_median",5,6.58289e+06,6.58309e+06,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/1048576/manual_time_stddev",5,20496.7,20764.2,ns,,,,,
"exponential_lpdf_Prim_real_Prim_vector/4194304/manual_time_mean",5,2.7096e+07,2.70956e+07,ns,,,,,
