name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_int1_Prim_real/1/manual_time_mean",5,37.986,61.1276,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1/manual_time_median",5,37.3297,60.2123,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1/manual_time_stddev",5,1.24208,1.79561,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4/manual_time_mean",5,39.6319,62.4841,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4/manual_time_median",5,39.6151,62.4629,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4/manual_time_stddev",5,0.0586908,0.0939994,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16/manual_time_mean",5,50.65,73.8614,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16/manual_time_median",5,50.4804,73.6686,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16/manual_time_stddev",5,0.728549,0.998897,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/64/manual_time_mean",5,103.837,126.711,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/64/manual_time_median",5,103.761,126.596,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/64/manual_time_stddev",5,0.344174,0.401775,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/256/manual_time_mean",5,257.819,280.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/256/manual_time_median",5,257.871,280.715,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/256/manual_time_stddev",5,0.351154,0.401479,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1024/manual_time_mean",5,876.17,899.081,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1024/manual_time_median",5,875.047,897.827,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1024/manual_time_stddev",5,2.34055,2.38218,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4096/manual_time_mean",5,3365.32,3388.4,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4096/manual_time_median",5,3353.7,3376.87,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4096/manual_time_stddev",5,34.7137,34.8159,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16384/manual_time_mean",5,13262.9,13289.6,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16384/manual_time_median",5,13256.2,13282.9,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16384/manual_time_stddev",5,24.772,25.0192,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/65536/manual_time_mean",5,52911.9,52950.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/65536/manual_time_median",5,52907.2,52945.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/65536/manual_time_stddev",5,107.666,105.151,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/262144/manual_time_mean",5,212021,212070,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/262144/manual_time_median",5,211779,211821,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/262144/manual_time_stddev",5,844.296,845.725,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1048576/manual_time_mean",5,852120,852216,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1048576/manual_time_median",5,853428,853508,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1048576/manual_time_stddev",5,2259.69,2253.07,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4194304/manual_time_mean",5,3.82285e+06,3.82352e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4194304/manual_time_median",5,3.79235e+06,3.79287e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4194304/manual_time_stddev",5,87076.7,87058.8,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16777216/manual_time_mean",5,1.60428e+07,1.60436e+07,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16777216/manual_time_median",5,1.59867e+07,1.59876e+07,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16777216/manual_time_stddev",5,96952.2,96853,ns,,,,,
"bernoulli_lpmf_Prim_int1_Rev_real/1/manual_time_mean",5,40.3573,65.0444,ns,,,,,
