name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,57.7852,81.2522,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,56.9761,80.2712,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,1.96384,2.50873,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,94.9616,118.127,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,94.9786,118.152,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,0.163922,0.187306,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,227.96,251.093,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,227.749,250.844,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,0.614177,0.687383,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,815.438,838.351,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,815.654,838.6,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,0.785619,0.847827,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,3184.48,3207.19,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,3184.3,3207.18,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,13.1462,13.2274,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,12664,12689.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,12652.6,12680,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,35.9854,34.5009,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,50436.1,50472,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,50436.5,50473,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,33.0499,32.6968,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,200699,200743,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,199686,199717,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2592.54,2586.84,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,793923,793922,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,793512,793520,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,1914.3,1914.22,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,3.1859e+06,3.18571e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,3.18644e+06,3.1864e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,8002.87,7954.39,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,1.29963e+07,1.2996e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,1.29768e+07,1.29761e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,67808.6,67860.4,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,6.15406e+07,6.15375e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,6.15851e+07,6.15832e+07,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_stddev",5,164009,164852,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_mean",5,2.42441e+08,2.42423e+08,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_median",5,2.42354e+08,2.42333e+08,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Prim_vector/16777216/manual_time_stddev",5,378400,375636,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_mean",5,120.634,155.969,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_median",5,120.503,155.786,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1/manual_time_stddev",5,0.48953,0.583027,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_mean",5,174.269,211.323,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_median",5,173.666,210.697,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4/manual_time_stddev",5,1.02716,1.19656,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_mean",5,377.955,416.054,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_median",5,377.762,415.859,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16/manual_time_stddev",5,1.67146,1.8451,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_mean",5,1180.9,1228.51,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_median",5,1180.36,1227.93,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/64/manual_time_stddev",5,2.14581,2.26367,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_mean",5,4549.57,4673.54,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_median",5,4552.84,4673.65,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/256/manual_time_stddev",5,18.7989,20.026,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_mean",5,17866.7,18150.7,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_median",5,17859.2,18145.3,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/1024/manual_time_stddev",5,29.9745,30.7653,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_mean",5,72691.7,73460,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_median",5,72724.7,73497.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/4096/manual_time_stddev",5,145.873,145.019,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_mean",5,303988,307531,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_median",5,303239,306768,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/16384/manual_time_stddev",5,1544.34,1563.1,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_mean",5,1.20641e+06,1.22302e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_median",5,1.20641e+06,1.2229e+06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/65536/manual_time_stddev",5,1600.77,1577.06,ns,,,,,
"gumbel_lpdf_Prim_real_Prim_real_Rev_vector/262144/manual_time_mean",5,5.9327e+06,6.07724e+06,ns,,,,,
