name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1/manual_time_mean",5,53.0101,76.6088,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1/manual_time_median",5,52.3542,75.9981,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1/manual_time_stddev",5,2.03885,2.52765,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4/manual_time_mean",5,89.6596,112.77,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4/manual_time_median",5,89.5354,112.627,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4/manual_time_stddev",5,0.448973,0.526471,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16/manual_time_mean",5,230.679,253.774,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16/manual_time_median",5,230.185,253.331,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16/manual_time_stddev",5,1.39186,1.42191,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/64/manual_time_mean",5,774.173,797.125,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/64/manual_time_median",5,772.304,795.455,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/64/manual_time_stddev",5,5.2819,5.48921,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/256/manual_time_mean",5,2935.31,2958.06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/256/manual_time_median",5,2923.43,2944.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/256/manual_time_stddev",5,35.4763,35.7121,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1024/manual_time_mean",5,11568.4,11598.8,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1024/manual_time_median",5,11564,11594.2,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1024/manual_time_stddev",5,19.0769,18.9774,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4096/manual_time_mean",5,46044.2,46090.8,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4096/manual_time_median",5,46048.7,46094.2,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4096/manual_time_stddev",5,55.5023,56.0893,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16384/manual_time_mean",5,184654,184704,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16384/manual_time_median",5,184513,184553,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16384/manual_time_stddev",5,556.317,561.853,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/65536/manual_time_mean",5,737993,738038,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/65536/manual_time_median",5,737290,737335,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/65536/manual_time_stddev",5,2418.72,2391.37,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/262144/manual_time_mean",5,2.95638e+06,2.95631e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/262144/manual_time_median",5,2.95254e+06,2.95251e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/262144/manual_time_stddev",5,11387.8,11320.7,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1048576/manual_time_mean",5,1.19566e+07,1.19571e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1048576/manual_time_median",5,1.1963e+07,1.19635e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/1048576/manual_time_stddev",5,43219.3,43219.6,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4194304/manual_time_mean",5,4.86277e+07,4.86271e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4194304/manual_time_median",5,4.8574e+07,4.8574e+07,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/4194304/manual_time_stddev",5,133725,133361,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16777216/manual_time_mean",5,1.94928e+08,1.94918e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16777216/manual_time_median",5,1.94625e+08,1.94619e+08,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Prim_real/16777216/manual_time_stddev",5,1.10263e+06,1.10062e+06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/1/manual_time_mean",5,58.8748,83.552,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/1/manual_time_median",5,58.8517,83.51,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/1/manual_time_stddev",5,0.093985,0.122076,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/4/manual_time_mean",5,100.134,124.765,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/4/manual_time_median",5,100.148,124.774,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/4/manual_time_stddev",5,0.168713,0.208591,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/16/manual_time_mean",5,253.945,278.601,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/16/manual_time_median",5,254.091,278.716,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/16/manual_time_stddev",5,0.496896,0.5167,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/64/manual_time_mean",5,847.191,871.923,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/64/manual_time_median",5,846.427,871.222,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/64/manual_time_stddev",5,1.68044,1.71455,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/256/manual_time_mean",5,3197.38,3222.41,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/256/manual_time_median",5,3188.17,3213.06,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/256/manual_time_stddev",5,23.7173,24.2213,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/1024/manual_time_mean",5,12628,12663.8,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/1024/manual_time_median",5,12609.3,12645.5,ns,,,,,
"binomial_lpmf_Prim_int1_Prim_int1_Rev_real/1024/manual_time_stddev",5,27.0996,27.154,ns,,,,,
