name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1/manual_time_mean",5,113.245,136.489,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1/manual_time_median",5,113.056,136.312,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1/manual_time_stddev",5,2.12647,2.46395,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4/manual_time_mean",5,235.996,258.961,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4/manual_time_median",5,235.031,257.987,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4/manual_time_stddev",5,2.31626,2.44483,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16/manual_time_mean",5,708.585,731.563,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16/manual_time_median",5,708.799,731.792,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16/manual_time_stddev",5,0.926979,0.919766,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/64/manual_time_mean",5,2569.99,2592.76,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/64/manual_time_median",5,2571.11,2593.9,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/64/manual_time_stddev",5,5.63723,5.5847,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/256/manual_time_mean",5,10110.7,10135.6,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/256/manual_time_median",5,10108.8,10134,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/256/manual_time_stddev",5,32.6854,31.2261,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1024/manual_time_mean",5,39639.3,39664.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1024/manual_time_median",5,39681.6,39705.3,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/1024/manual_time_stddev",5,105.596,106.057,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4096/manual_time_mean",5,158995,159020,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4096/manual_time_median",5,158898,158920,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/4096/manual_time_stddev",5,459.911,456.972,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16384/manual_time_mean",5,639835,639800,ns,,,,,
"beta_proportion_lpdf_Prim_real_Prim_real_Prim_array_int/16384/manual_time_median",5,638564,638515,ns,,,,,
