name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,168093,36827.5,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,165767,36267.8,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,5099.82,2187.51,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,162616,35454.8,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,162081,35104.3,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2126.16,1548.98,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,165473,35012.2,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,166098,34687.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,3345.79,998.985,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,163618,36503.9,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,161666,35937.2,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,4049.84,2781.52,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,165875,37606.4,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,165617,37992.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,1714.66,1028.23,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,166699,38238.3,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,166460,37079.2,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,2098.78,2481.59,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,174247,40228.8,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,173336,39839.6,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,4672.79,2358.09,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,196450,44890.7,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,196596,45428.2,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2198.76,917.892,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,304855,62208.5,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,304860,61599.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,9601.23,1100.1,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,624262,120760,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,621649,118336,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,11898.1,6515.15,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,2.57975e+06,822168,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,2.58598e+06,830394,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,29295.9,29635,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.65424e+07,3.3654e+06,ns,,,,,
"cauchy_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.65835e+07,3.37476e+06,ns,,,,,
