name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bernoulli_lpmf_Prim_int1_Prim_real/1/manual_time_mean",5,162461,26650.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1/manual_time_median",5,161977,26332.5,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1/manual_time_stddev",5,3154.68,1743.14,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4/manual_time_mean",5,160004,25270.2,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4/manual_time_median",5,159608,25106.8,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4/manual_time_stddev",5,1606.97,408.642,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16/manual_time_mean",5,158541,25148,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16/manual_time_median",5,158386,25024.3,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16/manual_time_stddev",5,607.782,662.782,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/64/manual_time_mean",5,160160,25661,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/64/manual_time_median",5,159045,25406.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/64/manual_time_stddev",5,1647.09,1080.66,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/256/manual_time_mean",5,163911,26970.6,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/256/manual_time_median",5,162597,26144.3,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/256/manual_time_stddev",5,7433.27,3432.5,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1024/manual_time_mean",5,159063,25933.8,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1024/manual_time_median",5,159159,25901.6,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1024/manual_time_stddev",5,428.84,316.087,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4096/manual_time_mean",5,159947,27090.2,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4096/manual_time_median",5,160082,27099.8,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4096/manual_time_stddev",5,856.991,762.988,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16384/manual_time_mean",5,166567,30455.6,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16384/manual_time_median",5,166154,30627.7,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16384/manual_time_stddev",5,1431.25,581.428,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/65536/manual_time_mean",5,200028,38600.6,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/65536/manual_time_median",5,199663,37914.3,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/65536/manual_time_stddev",5,4536.25,1807.36,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/262144/manual_time_mean",5,363674,62007.6,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/262144/manual_time_median",5,361480,62291.5,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/262144/manual_time_stddev",5,4784.74,1662.64,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1048576/manual_time_mean",5,1.0079e+06,189094,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1048576/manual_time_median",5,1.00179e+06,188950,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/1048576/manual_time_stddev",5,22337.1,23282.1,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4194304/manual_time_mean",5,5.01013e+06,1.62523e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4194304/manual_time_median",5,5.01508e+06,1.61933e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/4194304/manual_time_stddev",5,156218,37513.5,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16777216/manual_time_mean",5,2.52179e+07,5.87414e+06,ns,,,,,
"bernoulli_lpmf_Prim_int1_Prim_real/16777216/manual_time_median",5,2.50811e+07,5.86696e+06,ns,,,,,
