name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_mean",5,186774,51660.3,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_median",5,182190,49397.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1/manual_time_stddev",5,10309.4,5348.68,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_mean",5,183092,49504.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_median",5,183301,49825.9,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4/manual_time_stddev",5,2485.55,823.683,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_mean",5,184508,48230.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_median",5,184819,48550,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16/manual_time_stddev",5,3016.24,609.439,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_mean",5,182588,48703.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_median",5,180541,48653.7,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/64/manual_time_stddev",5,4385.46,839.628,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_mean",5,185656,48885.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_median",5,188055,48336.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/256/manual_time_stddev",5,4409.14,1326.57,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_mean",5,188175,50385.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_median",5,187930,49304.9,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1024/manual_time_stddev",5,7958.49,3571.41,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_mean",5,182621,49776.9,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_median",5,183062,48831.9,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4096/manual_time_stddev",5,3161.15,2061.41,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_mean",5,186202,50083.1,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_median",5,185878,50253,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/16384/manual_time_stddev",5,2096.32,493.458,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_mean",5,206700,53160,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_median",5,206610,53739.5,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/65536/manual_time_stddev",5,3477.28,2721.35,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_mean",5,271982,55239.4,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_median",5,272591,55303.2,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/262144/manual_time_stddev",5,1457.5,604.007,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_mean",5,577305,82816.8,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_median",5,577731,79713.6,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/1048576/manual_time_stddev",5,1722.22,5949.28,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_mean",5,1.71795e+06,216699,ns,,,,,
"frechet_lpdf_Prim_real_Prim_real_Prim_vector/4194304/manual_time_median",5,1.66179e+06,209469,ns,,,,,
